instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
2894,NETLIB,5,15,OR-Tools PDLP-SAA,nan,1.0456359050003812,False,100,0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,Bertsimas-Sim(γ=3.0),nan,0.011966191930696368,False,parametric robust (γ=3.0),0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,CVaR-LP(α=0.95),nan,0.9250924559310079,False,100,0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,FuzzyPD-LP,0.0,2.6662127720192075,True,BS(γ=5.0)+AdvSAA(100)+Combo,0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,TSAR-BS-only,0.0,0.6153951790183783,True,BS-only(γ=5.0),0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,TSAR-Adv-only,0.0,1.7148259170353413,True,AdvSAA-only(S=100),0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
2894,NETLIB,5,15,TSAR-No-calib,0.0,0.2142773939995095,True,No-calibration(fixed γ=2.0),0.0,1.0,0.0,0.0,3.096329301746025,3.295421288407309,400
semi-continuous,MIPLIB,4,4,Nominal-LP,nan,0.11026879900600761,False,deterministic (mean only),0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-continuous,MIPLIB,4,4,HiGHS-SAA,-619030223.526454,0.1873135679634288,True,100,0.98,0.020000000000000018,-616326741.5323335,38795276.42896984,0.0034742734767721065,0.3655255559121794,400
semi-continuous,MIPLIB,4,4,OR-Tools GLOP-SAA,nan,0.2944513850379735,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-continuous,MIPLIB,4,4,OR-Tools PDLP-SAA,nan,0.12251968903001398,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-continuous,MIPLIB,4,4,Bertsimas-Sim(γ=3.0),-225131531.65286097,0.013159374007955194,True,parametric robust (γ=3.0),1.0,0.0,-277182752.37587315,17515799.152044483,0.0,0.0,400
semi-continuous,MIPLIB,4,4,CVaR-LP(α=0.95),nan,0.5030687020625919,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-continuous,MIPLIB,4,4,FuzzyPD-LP,-88111431.35442238,1.5866429229499772,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,-87941623.92088486,5557228.37573887,0.0,0.0,400
semi-continuous,MIPLIB,4,4,TSAR-BS-only,-88111431.35442238,0.4395327549427748,True,BS-only(γ=5.0),1.0,0.0,-87941623.92088486,5557228.37573887,0.0,0.0,400
semi-continuous,MIPLIB,4,4,TSAR-Adv-only,-786.006096051636,0.4318619790719822,True,AdvSAA-only(S=100),1.0,0.0,-784.4781236651959,49.82296523659793,0.0,0.0,400
semi-continuous,MIPLIB,4,4,TSAR-No-calib,-526281833.2762334,0.024014641996473074,True,No-calibration(fixed γ=2.0),1.0,0.0,-525267588.4516449,33192835.591501825,0.0,0.0,400
small_mip,MIPLIB,9,4,Nominal-LP,-0.8391276864728183,0.013714090920984745,True,deterministic (mean only),0.0625,0.9375,-0.8350985492440688,0.14213357086840023,0.5252422516883023,3.0045840431872204,400
small_mip,MIPLIB,9,4,HiGHS-SAA,0.4349484856700183,0.22225834801793098,True,100,0.985,0.015000000000000013,0.4262579844380285,0.12419950684528315,0.0017308625976820524,0.2655811459021251,400
small_mip,MIPLIB,9,4,OR-Tools GLOP-SAA,0.43494848464646285,0.21873708895873278,True,100,0.985,0.015000000000000013,0.42625798340715393,0.12419950684273287,0.0017308626088436002,0.26558114657442466,400
small_mip,MIPLIB,9,4,OR-Tools PDLP-SAA,0.4349484846653704,0.05079284904059023,True,100,0.985,0.015000000000000013,0.42625798342620214,0.12419950684272106,0.001730862608674994,0.26558114655537857,400
small_mip,MIPLIB,9,4,Bertsimas-Sim(γ=3.0),2.0645151403186124,0.040484028053469956,True,parametric robust (γ=3.0),1.0,0.0,1.6614974706350005,0.12416463072576331,0.0,0.0,400
small_mip,MIPLIB,9,4,CVaR-LP(α=0.95),0.42073502760362413,0.850058616953902,True,100,0.985,0.015000000000000013,0.4262579844380254,0.1241995068452832,0.0017308625976821057,0.265581145902134,400
small_mip,MIPLIB,9,4,FuzzyPD-LP,1.654145008103479,2.4188496799906716,True,BS(γ=3.0)+AdvSAA(100)+Combo,1.0,0.0,1.6614974706350005,0.12416463072576331,0.0,0.0,400
small_mip,MIPLIB,9,4,TSAR-BS-only,1.654145008103479,0.6851413900731131,True,BS-only(γ=3.0),1.0,0.0,1.6614974706350005,0.12416463072576331,0.0,0.0,400
small_mip,MIPLIB,9,4,TSAR-Adv-only,1.2494746631265126,1.117586186970584,True,AdvSAA-only(S=100),1.0,0.0,1.2562641538612047,0.12417608966463337,0.0,0.0,400
small_mip,MIPLIB,9,4,TSAR-No-calib,0.8321777768843086,0.4719490889692679,True,No-calibration(fixed γ=2.0),1.0,0.0,0.8383702197318201,0.12475444329109558,0.0,0.0,400
flugpl,MIPLIB,18,12,Nominal-LP,1008000.0,0.29817991401068866,True,deterministic (mean only),0.015,0.985,1007412.6535684931,24230.217782927648,903.7610237253175,3246.854600416489,400
